Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
83,Johnny Gaudreau,29,CBJ,LW,17,6,9,15,-2,6,1.3,6,0,0,0,8,1,0,49,12.2,339,19:55,2,0,0,0,,gaudrjo01
84,Nazem Kadri,32,CGY,C,17,8,7,15,-8,6,1.5,4,4,0,1,3,4,0,53,15.1,294,17:16,11,22,107,138,43.7,kadrina01
85,Chris Kreider,31,NYR,LW,19,7,8,15,4,4,1.7,3,4,0,1,4,4,0,67,10.4,372,19:34,6,41,14,11,56.0,kreidch01
86,David Perron,34,DET,LW,18,6,9,15,5,6,1.6,4,2,0,2,5,4,0,48,12.5,299,16:38,12,19,0,1,0.0,perroda01
87,Brayden Schenn,31,STL,C,17,5,10,15,-4,17,1.3,4,1,0,0,7,3,0,28,17.9,299,17:36,5,33,53,65,44.9,schenbr01
88,Tyler Seguin,31,DAL,C,18,4,11,15,2,12,1.3,3,1,0,1,9,2,0,36,11.1,300,16:40,5,17,131,111,54.1,seguity01
89,Mark Stone,30,VEG,RW,19,7,8,15,9,4,1.8,7,0,0,1,6,2,0,49,14.3,368,19:21,13,18,0,1,0.0,stonema01
90,Dylan Strome,25,WSH,C,20,5,10,15,-9,6,1.1,3,2,0,0,4,6,0,36,13.9,343,17:10,10,6,122,149,45.0,stromdy01
91,Robert Thomas,23,STL,C,17,4,11,15,-5,2,1.1,3,1,0,0,8,3,0,29,13.8,333,19:34,10,3,163,141,53.6,thomaro01
92,Gabriel Vilardi,23,LAK,C,21,10,5,15,3,2,1.8,8,2,0,3,5,0,0,48,20.8,352,16:47,11,16,14,20,41.2,vilarga01
93,Jason Zucker,31,PIT,LW,16,5,10,15,7,4,1.7,5,0,0,1,7,3,0,43,11.6,248,15:29,5,44,1,3,25.0,zuckeja01
94,Viktor Arvidsson,29,LAK,LW,19,3,11,14,1,8,1.0,1,2,0,0,8,3,0,41,7.3,312,16:26,10,5,6,9,40.0,arvidvi01
95,Drake Batherson,24,OTT,C,17,5,9,14,-12,6,0.9,2,3,0,0,7,2,0,44,11.4,307,18:04,4,24,6,9,40.0,bathedr01
96,Alex DeBrincat,25,OTT,RW,17,5,9,14,-5,4,1.1,3,2,0,1,5,4,0,63,7.9,330,19:24,9,25,0,1,0.0,debrial01
97,Matt Duchene,32,NSH,C,18,4,10,14,-4,22,1.0,2,2,0,1,9,1,0,45,8.9,324,18:00,11,3,24,23,51.1,duchema01
98,Dougie Hamilton,29,NJD,D,18,5,9,14,9,10,2.7,3,2,0,2,4,5,0,65,7.7,391,21:43,18,13,0,0,,hamildo01
99,Filip Hronek,25,DET,D,18,4,10,14,8,12,2.6,4,0,0,1,5,5,0,40,10.0,401,22:17,15,25,0,0,,hronefi01
100,Roman Josi,32,NSH,D,18,3,11,14,-6,10,1.6,1,2,0,0,7,4,0,73,4.1,443,24:37,44,14,0,0,,josiro01
101,Alex Killorn,33,TBL,C,18,6,8,14,6,4,1.5,6,0,0,1,7,1,0,28,21.4,322,17:52,5,10,0,0,,killoal01
102,Anze Kopitar,35,LAK,C,21,3,11,14,-3,2,0.7,3,0,0,0,7,4,0,37,8.1,425,20:14,28,20,234,164,58.8,kopitan01
103,Evgeny Kuznetsov,30,WSH,C,19,2,12,14,-3,16,1.0,0,2,0,1,9,3,0,54,3.7,358,18:52,7,12,131,149,46.8,kuzneev01
104,Brad Marchand,34,BOS,LW,10,5,9,14,4,0,1.7,0,5,0,1,4,5,0,27,18.5,187,18:40,4,15,5,5,50.0,marchbr03
105,Jonathan Marchessault,32,VEG,C,19,7,7,14,0,4,1.5,4,3,0,0,5,2,0,62,11.3,310,16:19,3,28,5,13,27.8,audymjo01
106,Mark Scheifele,29,WPG,C,16,10,4,14,-3,0,1.7,8,2,0,2,3,1,0,45,22.2,343,21:27,6,15,121,140,46.4,scheima01
107,Jeff Skinner,30,BUF,LW,18,5,9,14,-1,6,1.2,4,1,0,0,8,1,0,51,9.8,303,16:52,3,12,37,38,49.3,skinnje01
108,Reilly Smith,31,VEG,RW,19,9,5,14,7,6,1.9,3,3,3,2,4,1,0,55,16.4,317,16:42,7,15,2,1,66.7,smithre01
109,Shea Theodore,27,VEG,D,19,3,11,14,12,2,2.8,3,0,0,1,10,1,0,44,6.8,399,20:58,25,8,0,0,,theodsh01
110,Rasmus Andersson,26,CGY,D,17,1,12,13,-6,12,1.4,1,0,0,0,6,6,0,33,3.0,421,24:46,25,17,0,0,,anderra01
111,Jake DeBrusk,26,BOS,LW,17,7,6,13,7,6,1.7,4,3,0,1,3,3,0,61,11.5,294,17:16,7,22,2,3,40.0,debruja01
